CADC	8.5	5.1
CADE	40.0	39.75
CAFI	31.25	14.5
CALC	40.1	6.0
CALI	6.35	5.04
CALM	48.8	4.25
CAMD	45.06	4.69
CAMP	63.0	8.13
CAMT	11.5	1.22
CAPS	8.25	0.08
CASB	26.25	9.05
CASH	42.0	16.37
CATM	12.78	9.6
CATY	90.14	37.65
CAVM	35.6	24.5
CAVO	12.99	0.22
CBAK	13.78	4.4
CBEY	46.51	29.82
CBNJ	10.15	8.89
CBOU	12.53	6.92
CBRL	52.16	17.57
CBRX	20.12	5.0
CCBG	64.0	19.12
CCIX	30.3	3.9
CCMP	100.12	58.7
CCNE	50.0	41.35
CCPCN	27.1	25.76
CCUR	27.25	1.94
CDCS	13.0	9.79
CDII	12.95	1.31
CEBK	36.2	28.5
CEDC	77.48	6.7
CEDU	8.45	3.62
CELG	187.0	60.06
CELM	5.15	5.08
CENTA	15.4	5.06
CERS	81.88	4.79
CEVA	13.45	8.18
CFFN	51.56	35.13
CFNB	34.0	15.3
CFNL	13.68	4.25
CFSG	21.72	8.27
CGEN	19.5	4.07
CHBT	19.0	9.52
CHCI	31.0	24.5
CHCO	54.25	24.5
CHDN	67.0	46.7
CHDX	46.9	0.94
CHINA	166.0	55.25
CHIO	13.0	1.01
CHKE	48.76	38.94
CHLN	8.2	5.55
CHNL	21.0	4.06
CHNR	50.39	2.39
CHRD	41.0	3.3
CHRT	113.0	8.06
CHSCP	32.5	26.97
CHSI	41.24	5.6
CHTP	8.41	5.9
CHTT	93.6	72.35
CIDM	14.73	3.93
CIEN	230.12	1.89
CIGX	7.5	2.0
CIMT	10.75	2.62
CKXE	30.65	6.3
CLBH	18.25	10.0
CLDX	19.79	8.37
CLFD	64.0	6.62
CLMS	44.1	24.63
CLRT	24.25	1.52
CLZR	28.7	4.0
CMCSA	75.0	13.54
CMCSK	78.41	16.87
CME	714.48	219.2
CMED	57.5	29.63
CMLS	22.79	20.84
CMRG	36.5	7.61
CMRO	50.5	9.38
CMSB	12.0	11.49
CNBKA	38.11	23.2
CNIC	17.49	1.55
CNTF	19.88	8.5
CNVR	70.19	12.67
CNXT	132.5	2.07
COBK	16.05	10.8
CODI	18.46	11.39
COGT	38.25	24.39
COHU	61.75	18.4
COIN	17.12	0.69
COINZ	11.85	1.01
COLM	75.15	44.93
COMV	39.09	5.19
COOL	16.4	1.38
CORE	38.17	34.82
CORS	67.47	30.75
COST	98.75	26.5
COWN	21.82	15.95
CPBR	6.47	4.96
CPHD	33.36	10.22
CPII	21.5	18.64
CPKI	37.85	27.0
CPLP	32.5	9.49
CPRT	51.75	22.39
CPRX	7.43	3.85
CPSI	50.93	34.5
CPSS	26.5	0.86
CPWM	56.31	32.13
CRAI	58.47	48.57
CRAY	18.19	9.68
CRDN	84.41	8.12
CREE	202.0	19.19
CRFN	18.57	8.0
CRFT	29.4	8.38
CRIC	17.15	13.01
CRIS	27.25	4.74
CRME	14.45	4.53
CRNT	32.94	3.8
CRRB	39.0	5.66
CRTX	12.29	6.99
CRUS	72.5	5.58
CRVL	63.58	16.5
CRWS	6.1	3.48
CRXL	30.47	1.56
CRXX	14.5	0.98
CSBC	23.15	11.0
CSBK	13.0	10.61
CSCD	16.0	2.27
CSCX	12.0	8.23
CSGP	63.1	16.62
CSLMF	18.5	1.05
CSPI	17.0	5.0
CSUN	19.23	5.25
CTAS	78.38	56.56
CTCM	31.75	25.31
CTHR	32.86	0.48
CTIC	77.25	23.1
CTRN	57.85	43.66
CTRP	89.84	42.75
CTWS	40.74	27.25
CTZN	32.43	1.3
CUBA	18.0	7.05
CVBF	37.38	7.86
CVCO	50.0	36.4
CVCY	32.72	29.75
CVGI	24.94	7.76
CVGW	25.15	7.27
CVLL	40.0	35.34
CVLT	24.51	10.24
CVV	9.25	2.8
CVVT	12.73	8.0
CWBC	26.27	8.89
CWBS	29.99	8.0
CWS	8.2	0.88
CWST	39.0	13.98
CYAN	15.0	1.25
CYBE	58.88	11.12
CYBI	18.38	3.0
CYBS	70.5	8.88
CYDS	27.0	4.8
CYNO	45.0	14.72
CYTK	17.9	7.18
CZWI	21.25	18.75
